gvkey,ticker,company_name,fyear,roa,roe,profit_margin,turnover,leverage,equity_ratio,revenue_growth,asset_growth
019033,ABTS,ABITS GROUP INC,2015,-0.4722349701698027,-1.1215258855585832,-73.5,0.006424965580541534,2.374931880108992,0.4210647085819183,0.5,3.569730863334498
019033,ABTS,ABITS GROUP INC,2016,-2.3275484414490313,,-185.96128839590446,0.0035383319292333617,,-0.0016849199663016008,-0.75,-0.5460455866605477
019033,ABTS,ABITS GROUP INC,2017,-10.069117647058823,,-148.84782608695653,0.06764705882352941,,-2.175735294117647,3.3809523809523805,-0.7708508845829822
019033,ABTS,ABITS GROUP INC,2018,-28.650000000000002,,-25.279411764705884,1.1333333333333335,,-34.60666666666667,2.695652173913044,-0.7794117647058824
019033,ABTS,ABITS GROUP INC,2019,0.11876484560570072,1.0613770162701177,0.6689162490690537,0.14647664291369755,16.953020134228186,0.05898653998416469,0.08823529411764697,7.42
019033,ABTS,ABITS GROUP INC,2020,0.031794425087108016,0.18204488778054861,0.07716701902748414,0.41202090592334495,5.725685785536159,0.1746515679442509,1.5567567567567568,-0.09105304829770389
019033,ABTS,ABITS GROUP INC,2021,-0.35414243246736465,-0.4172377036698645,-12.511415525114156,0.02830554478480031,1.178163544997716,0.8487785963551764,-0.7684989429175475,2.3697735191637634
019033,ABTS,ABITS GROUP INC,2022,-0.9190412131588603,-0.9425955347437077,-137.46951219512195,0.006685418450124333,1.0483779950098109,0.9456636536792064,-0.25114155251141546,2.1706087630864674
019033,ABTS,ABITS GROUP INC,2023,-1.0216755966877742,-1.1125353606789252,-7.4821640903686095,0.13654814093196949,1.088932107496464,0.9183308978730313,7.208984571882137,-0.49785985080102724
019033,ABTS,ABITS GROUP INC,2024,-0.08002814176413683,-0.08766014834794336,-0.13559827149456116,0.5901855597572773,1.0953665350158945,0.9129364172016533,2.989892984542212,-0.07687936353304103
183139,ACCS,ACCESS NEWSWIRE INC,2015,0.01298119964189794,0.016941231452272464,0.012478485370051634,1.0402864816472694,1.3050590022198856,0.7662488809310652,-0.1474688187820984,0.09477604626090375
183139,ACCS,ACCESS NEWSWIRE INC,2016,0.12090817199284658,0.14700321421818868,0.13241931363365408,0.9130705232874582,1.2158252977878616,0.8224865873571261,0.01058519793459567,0.15138764547896155
183139,ACCS,ACCESS NEWSWIRE INC,2017,0.11038348082595871,0.14162440390583605,0.14816281279695914,0.7450147492625369,1.2830217243206419,0.7794100294985251,0.07536404666609897,0.317937951947749
183139,ACCS,ACCESS NEWSWIRE INC,2018,0.028909919867366674,0.03261504890309005,0.058811129848229345,0.4915722575297043,1.1281611658808401,0.8863981762917933,0.1270193221412732,0.7080825958702066
183139,ACCS,ACCESS NEWSWIRE INC,2019,0.021179376350725535,0.02628352490421456,0.042098803313899966,0.5030873726458784,1.2409961685823754,0.8058042605742514,0.1449550309162453,0.11874827300359203
183139,ACCS,ACCESS NEWSWIRE INC,2020,0.06036286508641692,0.07483476654111293,0.11367807405808053,0.530998308922583,1.2397484187335657,0.806615265556479,0.13691316354710015,0.07715344242050026
183139,ACCS,ACCESS NEWSWIRE INC,2021,0.08383218279542502,0.10407969639468691,0.15039071425307315,0.5574292482869297,1.2415243516761543,0.8054614463662533,0.18120479326352146,0.12519705351256838
183139,ACCS,ACCESS NEWSWIRE INC,2022,0.02915944214097248,0.058212683983987,0.08224887301182274,0.3545269506219374,1.9963579447972792,0.5009121748963438,0.0745327423113833,0.6895076037394607
183139,ACCS,ACCESS NEWSWIRE INC,2023,0.01175712180746562,0.02162619988706945,0.022949248007669724,0.5123096758349706,1.8394127611518916,0.5436517681728881,0.4194947690737434,-0.017685638899359257
183139,ACCS,ACCESS NEWSWIRE INC,2024,-0.21314032939689562,-0.4278522159676524,-0.4681007936852149,0.4553299893360717,2.0073733449615476,0.4981634345748252,-0.30921565102762305,-0.22277136542239695
031564,ACIW,ACI WORLDWIDE INC,2015,0.042928090072816366,0.1305562347188264,0.08168057232616013,0.5255605935448083,3.0412775061124697,0.328809192186561,0.029353962853872817,0.07538336845517901
031564,ACIW,ACI WORLDWIDE INC,2016,0.0680940653263558,0.17158839978434715,0.12880070716843275,0.5286777287434389,2.5198730456460776,0.39684538938492714,-0.03850562679676517,-0.04417469093744786
031564,ACIW,ACI WORLDWIDE INC,2017,0.002758322102190597,0.006715956248847432,0.005013713262467645,0.550155534988255,2.434797677730883,0.41071174379135805,0.018385186054304503,-0.02137207951448128
031564,ACIW,ACI WORLDWIDE INC,2018,0.032472302121835335,0.06574982041172223,0.0682534809562479,0.47576038125661085,2.0247970151617345,0.4938766664075328,-0.01407061768752127,0.14010020202627893
031564,ACIW,ACI WORLDWIDE INC,2019,0.020586738311864125,0.05934858332271356,0.05329597057603389,0.3862719468162113,2.882855089701655,0.34687834417077457,0.2461070728277448,0.5347953195709687
031564,ACIW,ACI WORLDWIDE INC,2020,0.021453227328919664,0.060218946342482205,0.05613749901492828,0.3821550248117528,2.80698775150278,0.3562537811091726,0.028632418178899277,0.03971378349389432
031564,ACIW,ACI WORLDWIDE INC,2021,0.040456308383624996,0.10266176190594781,0.0932374044030416,0.4339064203111303,2.5375958906695737,0.39407377812869115,0.058931239676062175,-0.06736596826067942
031564,ACIW,ACI WORLDWIDE INC,2022,0.04429334915939618,0.11915734918332165,0.09999078698165342,0.44297430289775835,2.6901860311920935,0.37172150490903905,0.03743110671400385,0.01619442683018324
031564,ACIW,ACI WORLDWIDE INC,2023,0.03527378997363806,0.09175358699747867,0.0836505277854079,0.42168042339347045,2.60118311828842,0.3844404467217981,0.021575341743201415,0.07316251777706118
031564,ACIW,ACI WORLDWIDE INC,2024,0.06713994313939178,0.14260629757071233,0.12740358078339672,0.5269863117390613,2.124015763234145,0.47080629876180585,0.0975568282344712,-0.12176423235548473
012540,ADBE,ADOBE INC,2015,0.05368630906209473,0.08991556191602468,0.13127923176487344,0.40894746518816577,1.6748322521488006,0.5970747211949169,0.15636263236771097,0.08721100621936428
012540,ADBE,ADOBE INC,2016,0.09197855626383772,0.15741521528761243,0.1996406140307425,0.4607206640311876,1.7114338567793088,0.584305374139242,0.22081463268460855,0.08362634558799953
012540,ADBE,ADOBE INC,2017,0.11653864496136232,0.20023406981833877,0.232000662877037,0.5023203102791527,1.7181774327711221,0.5820120675122438,0.2471760700870964,0.14389120928638888
012540,ADBE,ADOBE INC,2018,0.13803707687092784,0.27672959333757313,0.28690716553075035,0.4811210504818612,2.0047482865515205,0.49881573996511847,0.23673242708181386,0.2912255988006238
012540,ADBE,ADOBE INC,2019,0.14215398990482794,0.28028628258558397,0.2642001192878499,0.5380542230185335,1.9717088684829425,0.5071742669440913,0.23713035470179,0.10622578612605826
012540,ADBE,ADOBE INC,2020,0.2166035249547027,0.396562123039807,0.4087659309916071,0.5298962279690331,1.8308202653799759,0.5462032614066875,0.15188057393872878,0.16961430277809875
012540,ADBE,ADOBE INC,2021,0.1770125913145626,0.3258768669324863,0.3054798859676908,0.5794574354832789,1.840981279989187,0.5431885760434639,0.22668635374572577,0.12176741887662668
012540,ADBE,ADOBE INC,2022,0.17507822565801584,0.3384812468863426,0.27013518118823127,0.64811338118903,1.9333143548501885,0.5172464568378428,0.11536268609439349,-0.0027899122646011243
012540,ADBE,ADOBE INC,2023,0.18227610060781088,0.32861121201113935,0.2796640733680251,0.6517680244467577,1.8028211647899262,0.5546861882534672,0.10240826990798602,0.09622676237805994
012540,ADBE,ADOBE INC,2024,0.18392325504465762,0.3941864587025877,0.25854452452917925,0.711379424412835,2.1432116270825947,0.46658948064836253,0.10799113813179462,0.015144900768998326
001891,ADP,AUTOMATIC DATA PROCESSING,2015,0.04386825931351082,0.30206925236560256,0.1327878593957124,0.3303634798628834,6.885827181033586,0.14522583470500294,-0.10387908081759722,0.033034129234954746
001891,ADP,AUTOMATIC DATA PROCESSING,2016,0.034176780398442866,0.33302838272045693,0.1279161452887434,0.2671811312113579,9.744287754373437,0.1026242271582322,0.06667276134753397,0.31891695987677626
001891,ADP,AUTOMATIC DATA PROCESSING,2017,0.046621839698762775,0.4358561729947197,0.1400184170988223,0.3329693383539537,9.348755343223536,0.10696611081226466,0.06102264351462994,-0.1486146095717884
001891,ADP,AUTOMATIC DATA PROCESSING,2018,0.043700641974509756,0.4684934674528847,0.12162872022692822,0.3592954188202876,10.720516822754075,0.09327908500432747,0.07641480476259721,-0.002455621301775235
001891,ADP,AUTOMATIC DATA PROCESSING,2019,0.05473683205332354,0.424600455563992,0.16174727693436425,0.3384096047288345,7.7571251319468875,0.12891373840053286,0.06374101367272522,0.12939251038726085
001891,ADP,AUTOMATIC DATA PROCESSING,2020,0.06297634397620355,0.4287924620145336,0.1690564641050597,0.3725166281548812,6.8087862035395155,0.1468690556739988,0.02924826457475027,-0.06498805138501274
001891,ADP,AUTOMATIC DATA PROCESSING,2021,0.053277974268286434,0.45828115906245037,0.17317099177629386,0.3076610795017684,8.601700146381898,0.11625608693423549,0.028485654361266155,0.24529241296549253
